red_mean,green_mean,blue_mean
130.3069,115.2875,92.6641
130.6804,115.8868,93.3784
129.7476,115.0205,92.8145
131.9252,116.8964,94.078
129.2384,114.2518,92.3566
128.4895,113.595,91.9123
127.9741,113.2377,91.4851
128.2727,113.5949,91.6808
128.9428,114.3343,92.1015
129.4936,114.3876,91.5257
130.2604,115.0438,91.901
130.1266,115.0214,92.2152
130.4174,115.2035,92.2006
130.1287,115.0833,92.1783
131.027,115.8881,92.4657
133.3104,118.1224,94.1544
135.3792,120.54,96.7018
135.2852,120.5643,97.2142
133.0914,118.6263,95.6337
134.3321,119.6657,95.6794
132.767,117.5101,93.5765
130.7597,115.5211,92.1333
131.4233,116.1942,92.4563
132.8022,117.3412,93.0613
133.1921,117.6502,93.409
133.4055,117.9534,93.7007
133.0105,117.3423,93.3408
132.8486,117.399,93.4545
133.3669,117.8152,93.7843
134.6076,118.9168,94.2375
133.3106,117.5144,92.8759
133.042,116.9996,92.0177
132.0868,116.4453,92.2527
132.174,116.477,92.0257
132.4017,116.6303,92.0843
134.6499,119.1458,94.8474
137.6815,121.8443,97.1774
138.7673,122.9939,97.7949
137.93,122.2726,97.4634
137.0977,121.3587,96.4604
135.9011,120.1923,95.413
135.1906,119.5678,94.9828
137.0278,121.5628,97.1362
136.8056,121.8899,97.7794
136.4607,121.7663,97.9096
137.032,122.5859,99.0783
137.7336,123.5867,100.2041
135.5558,121.6096,98.9334
135.5427,121.5823,99.1036
137.2643,119.6481,98.9059
135.68,121.886,99.2231
137.4706,119.661,98.8835
136.7958,123.0484,100.227
137.093,119.1235,98.5391
135.6882,121.9128,99.6304
136.4939,118.6301,97.9922
134.1459,120.377,98.176
136.5044,118.5716,97.7607
132.8594,119.0709,97.0194
136.5943,118.6169,98.0657
132.6791,118.3739,95.7532
136.6345,118.5484,97.9799
132.7962,118.509,95.9093
136.6093,118.5781,97.9136
132.8343,118.2704,95.8875
140.2173,121.8013,100.1933
131.3473,117.1208,94.7245
142.8828,124.79,103.0207
131.4321,117.2044,94.6964
141.4296,123.3039,101.5926
132.2013,117.5822,94.7693
140.4795,122.556,100.7805
133.0543,118.6267,95.3769
140.2704,122.1552,100.4532
134.6101,119.8094,96.2531
140.582,122.2548,100.6765
133.7854,118.8331,95.399
140.0961,121.8816,100.0323
133.5004,118.4507,94.7443
140.3715,122.3467,100.5122
133.7973,118.722,94.685
141.0408,123.3181,101.349
132.8985,117.9142,94.3366
141.4609,123.8668,101.9047
132.6876,117.7408,94.2128
141.6134,124.2922,102.2012
133.4245,118.4106,94.4002
141.1533,123.8761,101.7741
133.4109,118.5809,95.0499
141.5534,124.3651,102.4918
135.0482,120.0615,96.427
141.4984,124.6604,102.6619
134.7162,120.1273,96.8099
140.9913,124.4548,102.7003
135.4823,120.93,97.4314
144.1593,127.4208,105.6154
134.5072,119.8854,96.57
144.2902,127.1082,105.4391
133.6113,119.1534,96.2883
143.6788,126.24,104.8127
132.0534,117.6672,95.0143
142.3393,125.3337,103.95
